Tipo_Fundo_Classe;CNPJ_Fundo_Classe;Data_Referencia;Versao;Data_Entrega;Nome_Fundo_Classe;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email;_data;_versao;_cnpj;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Patrimonio_Liquido;Valor_Patrimonial_Cotas;Cotas_Emitidas;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes;Percentual_Despesas_Taxa_Administracao
Classe;01.636.325/0001-28;2026-07-01;1;2026-08-14;PATEO MOINHOS FII RL;1998-03-11;INVESTIDOR QUALIFICADO;BRPMOVCTF008;234900;N;N;;Multicategoria;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com;2026-07-01;1;01636325000128;4;0;308608026.33;1313.784701;234900;-4.7E-05;0.005326;0;7.1E-05
Classe;01.657.856/0001-05;2026-07-01;1;2026-08-14;SCP - FUNDO DE INVESTIMENTO IMOBILIARIO;1996-10-31;INVESTIDORES EM GERAL;BRRTELCTF001;4200000;N;N;;Shoppings;Ativa;Indeterminado;;31/12;N;N;S;N;N;BR-CAPITAL DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A;44077014000189;RUA SURUBIM;577;CONJ. 101;CIDADE MONÇÕES;SÃO PAULO;SP;04571-050;(11) 5508-3500;;;www.brcapital.com.br;fundos@brcapital.com.br;2026-07-01;1;01657856000105;4240;2237;41463691.42;9.87230748095238;4200000;0.001306;0;0;0.000442
Fundo;01.964.775/0001-40;2026-07-01;1;2026-08-10;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES;2005-11-03;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRGEOGCTF005;12583000;S;S;;Educacional;Definida;Indeterminado;;31/12;S;N;N;S;N;BANCO BMG CONSIGNADO S.A.;50585090000106;AVENIDA JUSCELINO KUBITSCHEK;1830;SALA 101 BL 01;ITAIM BIBI;SÃO PAULO;SP;04543-000;11 2847-7491;;;N/C;barbara.foliveira@bancobmg.com.br;2026-07-01;1;01964775000140;6;;1581187.76;0.125660634188985;12583000;0.0059;0;0;0.0006
Classe;02.508.235/0001-14;2026-07-01;1;2026-08-14;LOGINVEST FII INDUSTRIAL DE RESPONSABILIDADE LIMITADA;1998-06-10;INVESTIDORES EM GERAL;BRLGVTCTF016;17100;N;N;;Logística;Definida;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Conjunto 32 - BLOCO B;VILA OLÍMPIA;SÃO PAULO;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;ri@riobravo.com.br;2026-07-01;1;02508235000114;6;;262424523.13;15346.4633409357;17100;0.004853;0.005016;0;0.000264
Classe;03.251.720/0001-18;2026-07-01;1;2026-08-12;FII PROJ AGUA BRANCA;2023-12-29;INVESTIDORES EM GERAL;BRFPABCTF011;750000;N;N;;Escritórios;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com;2026-07-01;1;03251720000118;649;638;268631047.68;358.17473;750000;-1E-06;-1E-06;0;0.00035
Classe;03.507.519/0001-59;2026-07-01;1;2026-08-14;SHOPPING PÁTIO HIGIENÓPOLIS FII DE RESPONSABILIDADE LIMITADA;1999-10-15;INVESTIDORES EM GERAL;BRSHPHCTF008;608950;N;N;;Shoppings;Definida;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Conjunto 32 - BLOCO B;VILA OLÍMPIA;SÃO PAULO;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;ri@riobravo.com.br;2026-07-01;1;03507519000159;2033;;628839781.49;1032.66242136464;608950;0.0052;0.004362;0;0.000153
Classe;03.683.056/0001-86;2026-07-01;1;2026-08-14;FUNDO DE INV. IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA;2000-01-12;INVESTIDORES EM GERAL;BRRCRBCTF000;3690695;N;N;;Escritórios;Ativa;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS - DTVM LTDA;72600026000181;AVENIDA CHEDID JAFET;222;BLOCO B - CONJUNTO 32;VILA OLIMPIA;SÃO PAULO;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2026-07-01;1;03683056000186;24069;;705549167.77;191.16973030012;3690695;0.014726;0.006854;0;0.000417
Classe;03.855.441/0001-63;2026-07-01;1;2026-08-11;RB LOGISTICA FII DE RESPONSABILIDADE LIMITADA;2000-05-02;INVESTIDOR QUALIFICADO;0;144210661;N;N;;Logística;Definida;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Conjunto 32 - Bloco B;Vila Olímpia;São Paulo;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;ri@riobravo.com.br;2026-07-01;1;03855441000163;2;;140997375.74;0.977718115722388;144210661;0.020404;0;0;0.001307
Classe;04.066.582/0001-60;2026-07-01;1;2026-08-12;HOSPITAL CRIANCA FII;2000-10-03;INVESTIDORES EM GERAL;BRHCRICTF006;200000;N;N;;Hospital;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com;2026-07-01;1;04066582000160;3015;3006;65911171.51;329.555858;200000;-5E-06;-5E-06;0;0.000379
Classe;04.141.645/0001-03;2026-07-01;1;2026-08-12;FII CONTINENTAL SQUARE FARIA LIMA - RESP. LIMITADA;2000-08-29;INVESTIDORES EM GERAL;BRFLMACTF009;1380670;N;N;;Escritórios;Ativa;Indeterminado;;31/12;S;N;N;S;N;BR-CAPITAL DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A;44077014000189;RUA SURUBIM;577;CONJ. 101;CIDADE MONÇÕES;SÃO PAULO;SP;04571-050;(11) 5508-3500;;;www.brcapital.com.br;fundos@brcapital.com.br;2026-07-01;1;04141645000103;10634;;345893884.73;250.526110316006;1380670;0.004688;0.004591;0;0.000104
Classe;04.644.612/0001-78;2026-07-01;1;2026-08-07;STARK FUNDO DE INVESTIMENTO IMOBILIÁRIO-FII;2021-09-13;INVESTIDOR PROFISSIONAL;BROLMPCTF009;2081002.66324455;N;N;;Hotel;Ativa;Indeterminado;;31/12;S;N;N;S;N;RJI CTVM LTDA;42066258000130;AVENIDA RIO BRANCO;138;4º ANDAR - SALA 402;CENTRO;RIO DE JANERIO;RJ;20040-002;21-3500-4514;21-3500-4514;;www.rjicv.com.br;controladoria.fundos@rjicv.com.br;2026-07-01;1;04644612000178;2;;28499071.57;13.6948751067749;2081002.66324455;-0.001011;0;0;0.000635854047227125
Classe;04.722.883/0001-02;2026-07-01;1;2026-08-14;TORRE NORTE FII;2001-10-10;INVESTIDORES EM GERAL;BRTRNTCTF013;3935562;N;N;;Escritórios;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com;2026-07-01;1;04722883000102;491;470;657832229.02;167.150773;3935562;-0.00049;-0.006403;0;0.000144
Fundo;05.437.916/0001-27;2026-07-01;1;2026-08-11;F.I.I EUROPAR RESPONSABILIDADE LIMITADA;2002-12-10;INVESTIDORES EM GERAL;BREUROCTF011;409883;N;N;;Logística;Definida;Indeterminado;;31/12;S;N;N;S;N;COINVALORES CCVM LTDA;00336036000140;Avenida Brigadeiro faria lima;1800;2º andar;Jardim Paulistano;são Paulo;SP;01451-001;(11)3035-4143;(11)3035-4141;;www.coinvalores.com.br;admfundoimobiliario@coinvalores.com.br;2026-07-01;1;05437916000127;1916;1904;161895063.69;394.978722440306;409883;0.006398;0.004818;0;0.000396
Classe;05.562.312/0001-02;2026-07-01;1;2026-08-14;FII EDIFÍCIO ALMIRANTE BARROSO RL;2003-03-17;INVESTIDORES EM GERAL;BRFAMBCTF018;122538;N;N;;Residencial;Definida;Indeterminado;;31/12;S;N;N;S;N;ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;44782130000101;o:RUA MARTIM DE CARVALHO;723;SALA 1001;SANTO AGOSTINHO;BELO HORIZONTE;MG;30190-094;+55(31)3658-3032;;;www.actualdtvm.com;admfiduciario@actualdtvm.com.br;2026-07-01;1;05562312000102;1881;1833;118966996.75;970.857993030733;122538;-0.001296;0;0;0.0003
Classe;06.175.262/0001-73;2026-07-01;1;2026-08-14;FII EDIFÍCIO OURINVEST;2004-04-19;INVESTIDORES EM GERAL;BREDFOCTF004;298500;N;N;;Residencial;Definida;Indeterminado;;31/12;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;36113876000191;Av. das Américas;3434;Bl. 7 Grupo 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br;2026-07-01;1;06175262000173;442;;56811116.92;190.321999731993;298500;0.003003;0.004494;0;0
Classe;07.000.400/0001-46;2026-01-01;1;2026-02-13;BB PROGRESSIVO FII;2004-09-03;INVESTIDORES EM GERAL;BRBBFICTF006;130000;N;N;;Escritórios;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com;2026-01-01;1;07000400000146;5522;5390;4408674.69;33.912882;130000;-0.672338;-0.19896;0;0.37315
Classe;07.122.725/0001-00;2026-07-01;2;2026-08-18;TORRE ALMIRANTE FII;2004-11-19;INVESTIDORES EM GERAL;BRALMICTF003;111177;N;N;;Escritórios;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com;2026-07-01;2;07122725000100;1829;1768;232330696.5;2089.737054;111177;-9E-06;-9E-06;0;0.000466
Classe;07.224.019/0001-60;2026-07-01;1;2026-08-14;SPDP FII RL;2005-01-28;INVESTIDORES EM GERAL;BRSHDPCTF007;1189725;N;N;;Shoppings;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com;2026-07-01;1;07224019000160;2;0;889876464.68;747.968198;1189725;-0.079776;0.004762;0;0.000176
Classe;07.583.627/0001-61;2026-07-01;1;2026-08-14;PENINSULA FII RL;2005-07-13;INVESTIDOR QUALIFICADO;BRXPMLCTF000;224952;N;N;;Multicategoria;Ativa;Indeterminado;;14/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com;2026-07-01;1;07583627000161;11;10;5072222384.55;22548.020842;224952;0.008863;0.006393;0;5.1E-05
Classe;07.789.135/0001-27;2026-07-01;1;2026-08-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO ANCAR IC;2005-12-21;INVESTIDORES EM GERAL;BRANCRCTF001;35856709.9610135;N;N;;Shoppings;Ativa;Indeterminado;;31/12;S;N;N;S;N;GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.;27652684000162;Praia de Botafogo;228;9º;Botafogo;Rio de Janeiro;RJ;20091-020;(21) 3923-3000;(21) 3923-3046;;www.genialinvestimentos.com.br;Structured-Funds@genial.com.vc;2026-07-01;1;07789135000127;250;244;4313209299.56;120.290157804486;35856709.9610135;0;0;0;2.50137896185576E-05
Classe;08.014.513/0001-63;2026-07-01;1;2026-08-14;HNS LOURDES FII;2006-04-20;INVESTIDORES EM GERAL;BRNSLUCTF008;1293286;N;N;;Hospital;Definida;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com;2026-07-01;1;08014513000163;5217;5199;327478149.68;253.214022;1293286;-1E-06;-1E-06;0;0.000437
Classe;08.098.114/0001-28;2026-07-01;1;2026-08-14;BTG RENDA URB FII;2006-06-26;INVESTIDORES EM GERAL;BRBTRUCTF008;8898724;N;N;;Outros;Ativa;Indeterminado;;01/06;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com;2026-07-01;1;08098114000128;785;760;772974188.15;86.863486;8898724;0;0;0;0.001654
Classe;08.417.532/0001-30;2026-07-01;1;2026-08-11;FCM FII DE RESPONSABILIDADE LIMITADA;2006-08-14;INVESTIDOR QUALIFICADO;;46971;N;N;;Outros;Definida;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;Avenida Chedid Jafet;222;Bloco B - Conjunto 32;Vila Olímpia;São Paulo;SP;04551-065;11 3509-6600;;;www.riobravo.com.br;ri@riobravo.com.br;2026-07-01;1;08417532000130;2;;183868932.69;3914.52029315961;46971;0.014657;0;0;0.000715
Classe;08.431.747/0001-06;2026-07-01;1;2026-08-13;HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO;2006-12-28;INVESTIDORES EM GERAL;BRHGBSCTF000;144355726;N;N;;Shoppings;Ativa;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR CJ 112;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br;2026-07-01;1;08431747000106;198399;;2922626205.6;20.2460012261654;144355726;0.005789;0.008375;0;0.000521
Classe;08.693.497/0001-82;2026-07-01;1;2026-08-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA;2007-05-31;INVESTIDORES EM GERAL;BRVERECTF002;640565.5375;N;N;;Multicategoria;Ativa;Indeterminado;;30/12;N;N;S;N;N;VÓRTX DTVM LTDA;22610500000188;Rua Gilberto Sabino;215;4º ANDAR;Pinheiros;;SP;5425020;11 3030-7177;;;www.vortx.com.br;fundos@vortx.com.br;2026-07-01;1;08693497000182;109;107;336746416.18;525.701737699;640565.5375;0.00143857;0.00568244;0;0.000137
Classe;08.696.175/0001-97;2026-07-01;1;2026-08-07;RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2007-01-30;INVESTIDORES EM GERAL;BRHUSCCTF009;927162;N;N;;Logística;Ativa;Indeterminado;;30/06;S;N;N;S;N;OLIVEIRA TRUST DIST. DE TÍTULOS E VALORES MOBILIÁRIOS S/A;36113876000191;AVENIDA DAS AMÉRICAS;3434;BLOCO 07 - SALA 201;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br;2026-07-01;1;08696175000197;5816;;185396155.2;199.96090780252;927162;0.008449;0.007111;0;0.000142
Classe;08.706.065/0001-69;2026-07-01;1;2026-08-14;HOTEL MAXINVEST FII;2007-02-13;INVESTIDORES EM GERAL;BRHTMXCTF000;2888094;N;N;;Hotel;Ativa;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com;2026-07-01;1;08706065000169;33399;33330;428115267.02;148.234534;2888094;0.003083;0.007254;0;0.001223
Classe;08.924.783/0001-01;2026-07-01;1;2026-08-14;BC FUND FII;2007-07-20;INVESTIDORES EM GERAL;BRBRCRCTF000;26638202;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S.A. DISTRIBUIDOR;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com;2026-07-01;1;08924783000101;110207;109953;2157913144.8;81.008213;26638202;0.018154;0.004485;0;0.00015
Classe;08.971.868/0001-40;2026-07-01;1;2026-08-07;FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO GRANDE;2024-12-20;INVESTIDOR PROFISSIONAL;;27423.30802067;S;N;;Outros;Ativa;Indeterminado;;30/06;N;S;N;N;S;INTRA INVESTIMENTOS DTVM LTDA;15489568000195;RUA JOAQUIM FLORIANO;1120;5º ANDAR;ITAIM BIBI;SÃO PAULO;SP;04534004;(11) 31985151;;;www.intrainvestimentos.com.br;administracao.fundos@intrainvestimentos.com.br;2026-07-01;1;08971868000140;1;0;3542400.51;129.174806603564;27423.30802067;-0.049436;0;0;0.000254
Classe;09.006.914/0001-34;2026-07-01;1;2026-08-13;RB CAPITAL RENDA II - FII;2024-08-30;INVESTIDORES EM GERAL;BRRBRDCTF008;1851786;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;S;N;N;S;N;.BANCO DAYCOVAL S/A;62232889000190;Avenida Paulista;1793;2º Andar;Bela Vista;São Paulo;SP;01311200;0300 111 0500;11 3563-4389;11 3563-4318;www.daycoval.com.br/investimentos/servicos-fiduciarios;informes.regulatorios@bancodaycoval.com.br;2026-07-01;1;09006914000134;7403;;133967894.97;72.345236;1851786;0.00833973;0;0;9.5E-05
Classe;09.072.017/0001-29;2026-07-01;1;2026-08-14;PÁTRIA ESCRITÓRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;2008-04-17;INVESTIDORES EM GERAL;BRHGRECTF006;11817767;N;N;;Escritórios;Ativa;Indeterminado;;31/12;S;N;N;S;N;BANCO GENIAL S.A.;45246410000155;Praia de Botafogo;228;9 ANDAR;Botafogo;Rio de Janeiro;RJ;222050-906;(11) 3524-8888;;;www.genialinvestimentos.com.br;structured-funds@genial.com.vc;2026-07-01;1;09072017000129;144538;;1732940877.68;146.638605895682;11817767;0.00632;0.005801;0;0.000761
