ID_Registro_Fundo;CNPJ_Fundo;Codigo_CVM;Data_Registro;Data_Constituicao;Tipo_Fundo;Denominacao_Social;Data_Cancelamento;Situacao;Data_Inicio_Situacao;Data_Adaptacao_RCVM175;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Patrimonio_Liquido;Data_Patrimonio_Liquido;Diretor;CNPJ_Administrador;Administrador;Tipo_Pessoa_Gestor;CPF_CNPJ_Gestor;Gestor
3227;13903012000178;111088;2011-07-06;2011-07-21;FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES VAREJO, ALIMENTAÇÃO E INFRAESTRUTURA BRASIL 2;2013-01-18;Cancelado;2013-01-18;;2021-01-01;2021-12-31;0.00;2013-03-31;ANTONIO JOSÉ DE LIMA;10274584000147;ICLA TRUST SERVIÇOS FINANCEIROS S.A.;PJ;08113859000119;MHFT INVESTIMENTOS S.A.
3295;14583184000174;111155;2011-11-09;2011-12-12;FIP;GP FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA - FIP;2016-06-27;Cancelado;2016-06-27;;;;0.00;2016-06-30;HENRY MOREIRA SEMER;07755775000116;GP INVESTIMENTOS LTDA.;PJ;07755775000116;GP INVESTIMENTOS LTDA.
3296;14584094000106;111159;2011-11-14;2011-11-14;FIP;BTG PACTUAL INFRAESTRUTURA II FIC DE FI EM PARTICIPAÇÕES MULTIESTRATÉGIA RESPONSABILIDADE LIMITADA;;Em Funcionamento Normal;2013-03-22;2025-05-21;2026-04-01;2027-03-31;9135155.65;2025-04-30;GUSTAVO COTTA PIERSANTI;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;09631542000137;BTG PACTUAL GESTORA DE RECURSOS LTDA
3299;14596751000127;111160;2011-11-14;2011-11-29;FIP;BTG PACTUAL INFRAESTRUTURA II FIP MULTIESTRATÉGIA RESPONSABILIDADE LIMITADA;;Em Funcionamento Normal;2012-07-31;2025-06-02;2026-03-01;2027-02-28;57350490.01;2025-04-30;GUSTAVO COTTA PIERSANTI;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;09631542000137;BTG PACTUAL GESTORA DE RECURSOS LTDA
3347;15021335000163;112086;2012-06-19;2012-01-26;FIP;NOVA ENERGY II FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA;2015-09-18;Cancelado;2015-09-18;;;;0.00;2015-03-31;CARLOS ALBERTO SARAIVA;02201501000161;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;PJ;11078868000120;NOVA GESTÃO DE RECURSOS LTDA
3355;15056983000155;112037;2012-03-12;2012-02-13;FIP;CASAFORTE ENERGIA I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA;2014-08-29;Cancelado;2014-08-29;;;;;;ALLAN HADID;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;29650082000100;BTG PACTUAL ASSET MANAGEMENT S/A DTVM
3366;15254448000109;112157;2012-10-26;2012-11-09;FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES INFRAESTRUTURA MILÃO DE RESPONSABILIDADE ILIMITADA;;Em Funcionamento Normal;2012-12-05;2024-06-09;2026-01-01;2026-12-31;1838456.43;2024-08-31;CLAUDIA SIOLA CIANFARAN;00806535000154;PLANNER CORRETORA DE VALORES S.A.;PJ;12678380000105;VCM GESTÃO DE CAPITAL LTDA
3509;17191738000186;112173;2012-11-23;2012-11-19;FIP;CAIXA BESI INFRAESTRUTURA DESENVOLVIMENTO BRASIL FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES;2014-07-21;Cancelado;2014-07-21;;;;;;DANIEL BOUERES SANDOVAL;00360305000104;CAIXA ECONOMICA FEDERAL;PJ;00360305000104;CAIXA ECONOMICA FEDERAL
3518;17213821000109;112180;2012-11-29;2012-12-04;FIP;FUNDO DE INVESTIMENTO EM PARTICIPACOES CAIS MAUA DO BRASIL INFRAESTRUTURA;2021-03-31;Cancelado;2021-03-31;;2021-01-01;2021-12-31;100193782.88;2020-06-30;JULIUS HAUPT BUCHENRODE;28376231000113;LAD CAPITAL GESTORA DE RECURSOS LTDA;PJ;28376231000113;LAD CAPITAL GESTORA DE RECURSOS LTDA
3528;17322459000104;113015;2013-02-06;2012-12-10;FIP;ASTRA INFRAESTRUTURA I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;;Em Funcionamento Normal;2017-06-21;2025-06-18;2026-01-01;2026-12-31;2288449735.27;2025-04-30;RICARDO ALLEGRETTI MARINHO;57375598000110;IDFIP ADMINISTRAÇÃO FIDUCIARIA LTDA;PJ;48352277000100;ASAROCK ASSET MANAGEMENT LTDA.
3561;17709881000117;113052;2013-04-26;2013-04-30;FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA XP OMEGA I;2020-11-30;Cancelado;2020-11-30;;2021-03-01;2022-02-28;124858901.33;2020-09-30;ERNANE DIVINO DOS SANTOS ALVES;22610500000188;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;PJ;07625200000189;XP GESTÃO DE RECURSOS LTDA
3561;17709881000117;113052;2013-04-26;2013-04-30;FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA XP OMEGA I;2020-11-30;Cancelado;2020-11-30;;2021-03-01;2022-02-28;124858901.33;2020-09-30;ERNANE DIVINO DOS SANTOS ALVES;22610500000188;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;PJ;16789525000198;XP VISTA ASSET MANAGEMENT LTDA.
3573;17870733000180;113033;2013-03-14;2013-03-14;FIP;Patria Infraestrutura III Fundo de Investimento em Participações Multiestratégia;;Em Funcionamento Normal;2014-06-30;2024-05-27;2026-01-01;2026-12-31;2508822796.32;2025-04-30;JOSE WALTER LUCAS;23025053000162;APEX GROUP INVESTIMENTOS LTDA.;PJ;12461756000117;PÁTRIA INVESTIMENTOS LTDA.
3574;17870798000125;113032;2013-03-14;2013-03-14;FIP;PÁTRIA BRASIL INFRAESTRUTURA III FUNDO DE INVESTIMENTO EM COTAS DE FIP RESPONSABILIDADE LIMITADA;;Em Funcionamento Normal;2014-06-25;2024-05-27;2026-01-01;2026-12-31;113156663.31;2025-04-30;JOSE WALTER LUCAS;23025053000162;APEX GROUP INVESTIMENTOS LTDA.;PJ;12461756000117;PÁTRIA INVESTIMENTOS LTDA.
3624;18589220000168;113098;2013-08-08;2013-08-16;FIP;MQS INFRA FUNDO DE INVESTIMENTO EM PARTICIPACOES EM INFRAESTRUTURA;2016-08-29;Cancelado;2016-08-29;;;;;;NELSON BURLAMAQUI PINHEIRO;11916849000126;OURO PRETO GESTÃO DE RECURSOS S.A.;PJ;11916849000126;OURO PRETO GESTÃO DE RECURSOS S.A.
3625;18589238000160;113099;2013-08-09;2013-07-19;FIP;MQS INFRA P FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA;2016-08-29;Cancelado;2016-08-29;;;;;;NELSON BURLAMAQUI PINHEIRO;11916849000126;OURO PRETO GESTÃO DE RECURSOS S.A.;PJ;11916849000126;OURO PRETO GESTÃO DE RECURSOS S.A.
3628;18623897000175;113104;2013-08-15;2013-08-15;FIP;FUNDO DE INVESTIMENTO EM PARTICIPACOES EM INFRAESTRUTURA ANESSA;;Em Funcionamento Normal;2013-09-18;2023-12-13;2026-01-01;2026-12-31;14390414.61;2024-08-31;ROGÉRIO PENTEADO FELGUEIRAS;67030395000146;TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;PJ;02622448000172;BLUE SOLUTIONS ASSET MANAGEMENT LTDA.
3645;18724865000166;113174;2013-11-22;2013-08-16;FIP;TOTEM FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES INFRAESTRUTURA, ÓLEO & GÁS;2015-03-09;Cancelado;2015-03-09;;;;0.00;2015-03-31;CARLOS ALBERTO SARAIVA;02201501000161;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;PJ;11089720000191;TOTEM INVESTIMENTOS E GESTÃO DE RECURSOS LTDA.
3678;19095122000137;113150;2013-10-25;2013-10-25;FIP;Patria Infraestrutura III (+100) FIC de Fundo de Investimento em Participações;;Em Funcionamento Normal;2014-07-02;2024-05-27;2026-01-01;2026-12-31;136062579.47;2025-04-30;JOSE WALTER LUCAS;23025053000162;APEX GROUP INVESTIMENTOS LTDA.;PJ;12461756000117;PÁTRIA INVESTIMENTOS LTDA.
3700;19334370000193;113182;2013-12-13;2013-11-27;FIP;OLIME FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA;2018-11-08;Cancelado;2018-11-08;;2021-08-01;2022-07-31;8954027.73;2018-09-30;EDUARDO CENTOLA;30723886000162;BANCO MODAL S.A.;PJ;01116811000115;APEX ADMINISTRADORA DE RECURSOS LTDA
3738;19932034000142;114042;2014-04-08;2014-04-08;FIP;FUNDO DE INVESTIMENTO EM PARTIPAÇÕES EM INFRAESTRUTURA VOTORANTIM SANEAMENTO;2017-03-09;Cancelado;2017-03-09;;2021-03-01;2022-02-28;0.00;2017-09-30;MARCELO MAYLINCH SIMÃO;03384738000198;TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;PJ;03384738000198;TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
3789;20835717000160;114088;2014-09-02;2014-09-02;FIP;FUNDO DE INVESTIMENTO EM PARTICIPACOES EM INFRAESTRUTURA PARANAGUÁ;;Em Funcionamento Normal;2018-07-13;2025-06-24;2026-01-01;2026-12-31;15814770.81;2025-04-30;ROGÉRIO PENTEADO FELGUEIRAS;67030395000146;TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;PJ;02622448000172;BLUE SOLUTIONS ASSET MANAGEMENT LTDA.
3817;21163276000160;114131;2014-11-25;2014-11-25;FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA PIRINEUS;;Em Funcionamento Normal;2015-09-25;2025-06-25;2026-08-01;2027-07-31;509451548.95;2025-04-30;LUCIANO COELHO DE MAGALHÃES NETTO;76621457000185;4UM DTVM S.A.;PJ;03983856000112;4UM GESTÃO DE RECURSOS LTDA.
3863;21523842000106;114150;2014-12-09;2014-11-10;FIP;PRISMA HÉLIOS FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES INFRAESTRUTURA;2023-09-14;Cancelado;2023-09-14;;2023-05-01;2024-04-30;792824.81;2022-12-31;PRISCILA LAZARINI GUIMARÃES;05230601000104;APEX ASSET MANAGEMENT LTDA;PJ;27451028000100;PRISMA CAPITAL LTDA
3905;21798423000179;115017;2015-03-16;2015-01-27;FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA LOGÍSTICA GRANEIS I;2023-12-12;Cancelado;2023-12-12;;2023-04-01;2024-03-31;1267.48;2023-04-30;MARCELO CARDOSO LISBOA;14717397000141;BFL ADMINISTRAÇÃO DE RECURSOS LTDA;PJ;10253634000100;RENDA ASSET ADMINISTRADORA DE RECURSOS LTDA
3946;22450865000192;116041;2016-07-28;2016-06-25;FIP;NOVA INFRAESTRUTURA FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES;;Em Funcionamento Normal;2017-04-04;2024-12-23;2026-01-01;2026-12-31;19292018047.49;2024-08-31;PAULO CESAR CARVALHO GARCIA;07885392000162;BROOKFIELD BRASIL ASSET MANAGEMENT INVESTIMENTOS LTDA;PJ;07885392000162;BROOKFIELD BRASIL ASSET MANAGEMENT INVESTIMENTOS LTDA
3977;22945918000146;115079;2015-08-06;2015-07-16;FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA SUPERPORTO;;Em Funcionamento Normal;2015-09-30;2025-06-30;2026-01-01;2026-12-31;0.02;2025-04-30;ROGÉRIO PENTEADO FELGUEIRAS;67030395000146;TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;PJ;02622448000172;BLUE SOLUTIONS ASSET MANAGEMENT LTDA.
3988;23109759000102;115125;2015-11-26;2015-08-07;FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA PROSPERIDADE;;Em Funcionamento Normal;2015-12-15;2025-06-25;2026-03-01;2027-02-28;750164227.24;2025-04-30;GUSTAVO COTTA PIERSANTI;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;07625159000140;BTG PACTUAL GESTORA DE INVESTIMENTOS ALTERNATIVOS LTDA.
4034;23740741000104;115129;2015-11-30;2015-10-29;FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA ORIGEM RESPONSABILIDADE LIMITADA;;Em Funcionamento Normal;2015-12-15;2025-06-27;2026-03-01;2027-02-28;114401966.72;2025-04-30;RICARDO FUSCALDI DE FIGUEIREDO BAPTISTA;17595680000136;VÓRTX GRAFENO S.A.;PJ;10464748000107;CVPAR HIERON INVESTIMENTOS LTDA
4122;26314464000166;116057;2016-10-21;2016-10-03;FIP;BTG PACTUAL INFRAESTRUTURA II ENERGIA FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES - INFRAESTRUTURA;2021-03-31;Cancelado;2021-03-31;;2021-04-01;2022-03-31;30826002.88;2020-12-31;ALLAN HADID;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;09631542000137;BTG PACTUAL GESTORA DE RECURSOS LTDA
4128;26545503000136;116069;2016-11-25;2017-01-02;FIP;ANTARES FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA EM INFRAESTRUTURA;2017-08-11;Cancelado;2017-08-11;;2021-01-01;2021-12-31;0.00;2017-09-30;DANILO CHRISTÓFARO BARBIERI;23025053000162;APEX GROUP INVESTIMENTOS LTDA.;PJ;23025053000162;APEX GROUP INVESTIMENTOS LTDA.
4147;26691062000180;116085;2016-12-14;2016-11-16;FIP;ARTEON Z TRANSMISSÃO FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA;2022-12-16;Cancelado;2022-12-16;;2023-04-01;2024-03-31;734586.38;2022-09-30;PAULO ROBERTO MERCADO JUNIOR;15489568000195;INTRA INVESTIMENTOS DTVM LTDA;PJ;35541359000150;INTRA BLACK INVESTIMENTOS GESTÃO DE RECURSOS LTDA
4200;27248864000183;117026;2017-03-08;2017-02-21;FIP;VINCI INFRA COINVESTIMENTO I FIP EM INFRAESTRUTURA - RESP LIMITADA;;Em Funcionamento Normal;2017-06-12;2025-05-21;2026-03-01;2027-02-28;36404099.75;2025-04-30;JOSE WALTER LUCAS;23025053000162;APEX GROUP INVESTIMENTOS LTDA.;PJ;20859417000111;VINCI INFRAESTRUTURA GESTORA DE RECURSOS LTDA.
4211;27467461000125;117038;2017-05-12;2016-08-30;FIP;BTG PACTUAL ENERGIA 3 FUNDO DE INVESTIMENTO EM PARTICIPACOES -INFRAESTRUTURA;2021-03-31;Cancelado;2021-03-31;;2021-04-01;2022-03-31;51356119.34;2020-12-31;ALLAN HADID;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;09631542000137;BTG PACTUAL GESTORA DE RECURSOS LTDA
4215;27486559000120;117052;2017-05-29;2017-03-24;FIP;ANTARES ENERGIA FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA;2018-01-22;Cancelado;2018-01-22;;2021-01-01;2021-12-31;0.00;2018-03-31;DANILO CHRISTÓFARO BARBIERI;23025053000162;APEX GROUP INVESTIMENTOS LTDA.;PJ;23025053000162;APEX GROUP INVESTIMENTOS LTDA.
4220;27635152000117;117106;2017-09-29;2017-03-23;FIP;RB CAPITAL FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MEZANINO INFRAESTRUTURA;2019-04-29;Cancelado;2019-04-29;;;;;;MARCOS WANDERLEY PEREIRA;22610500000188;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;PJ;07981934000109;RB ASSET MANAGEMENT LTDA
4259;28332012000132;117093;2017-08-25;2017-05-25;FIP;M. TRANSPORTATION FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA - RESP LIMITADA;;Em Funcionamento Normal;2017-12-14;2024-10-28;2026-04-01;2027-03-31;1429419939.72;2024-08-31;GUSTAVO COTTA PIERSANTI;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;39267921000150;MONTE CAPITAL MANAGEMENT GESTORA DE RECURSOS S.A.
4262;28481369000182;121270;2021-10-22;2017-07-31;FIP;AMBIENTAL METROSUL - FUNDO DE INVESTIMENTO EM PARTICIPACOES EM INFRAESTRUTURA;2022-05-04;Cancelado;2022-05-04;;;;;;JOSÉ ALEXANDRE COSTA DE FREITAS;02150453000120;OLIVEIRA TRUST SERVICER S/A;PJ;02150453000120;OLIVEIRA TRUST SERVICER S/A
4264;28550008000140;118056;2018-07-03;2017-07-28;FIP;PERFIN ARES II FUNDO DE INVESTIMENTOS EM PARTICIPAÇÕES - INFRAESTRUTURA;2021-12-10;Cancelado;2021-12-10;;;;;;EDUARDO CENTOLA;05389174000101;XP SERVIÇOS FINANCEIROS DTVM Ltda.;PJ;04232804000177;PERFIN INFRA ADMINISTRAÇÃO DE RECURSOS
4288;28953897000197;117121;2017-11-13;2017-10-11;FIP;Pátria Infraestrutura IV Feeder Fundo de Investimento em Participações Multiestratégia;2022-04-26;Cancelado;2022-04-26;;;;0.00;2020-03-31;FELIPE ANDRADE PINTO;12461756000117;PÁTRIA INVESTIMENTOS LTDA.;PJ;12461756000117;PÁTRIA INVESTIMENTOS LTDA.
4289;28953928000100;117120;2017-11-13;2017-10-11;FIP;PÁTRIA INFRAESTRUTURA IV FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;;Em Funcionamento Normal;2020-02-27;2025-06-25;2026-01-01;2026-12-31;7371607152.57;2025-04-30;MARCELO CERQUEIRA CHERRI;12461756000117;PÁTRIA INVESTIMENTOS LTDA.;PJ;12461756000117;PÁTRIA INVESTIMENTOS LTDA.
4337;29992920000115;118023;2018-03-28;2018-02-08;FIP;FRAM CAPITAL ITAMARACÁ FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA;;Em Funcionamento Normal;2020-03-18;2025-06-30;2026-03-01;2027-02-28;21281093.66;2025-04-30;ARIANA RENATA PAVAN;13673855000125;OSLO DTVM;PJ;08157028000149;FRAM CAPITAL GESTÃO DE ATIVOS LTDA.
4351;30317464000197;119020;2019-03-08;2018-04-04;FIP;XP INFRA II FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA - RESPONSABILIDADE LIMITADA;;Em Funcionamento Normal;2019-03-29;2025-06-27;2026-01-01;2026-12-31;1173917436.13;2025-04-30;CINTIA SANT'ANA DE OLIVEIRA;45246410000155;BANCO GENIAL S.A.;PJ;16789525000198;XP VISTA ASSET MANAGEMENT LTDA.
4464;32222790000146;118135;2018-12-13;2018-11-26;FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA SOLAR I RESPONSABILIDADE LIMITADA;;Em Funcionamento Normal;2019-09-13;2025-06-25;2026-03-01;2027-02-28;153866179.52;2025-04-30;GUSTAVO COTTA PIERSANTI;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;10594490000155;CASAFORTE INVESTIMENTOS S.A.
4488;32313958000129;119081;2019-08-09;2018-12-04;FIP;QUEBRA DENTES FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES - INFRAESTRUTURA;;Em Funcionamento Normal;2019-08-27;2025-06-11;2026-05-01;2027-04-30;156418.41;2025-04-30;ANDRÉ DE PINA DOS SANTOS;36266751000100;FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;PJ;48352277000100;ASAROCK ASSET MANAGEMENT LTDA.
4508;32528571000190;119099;2019-09-27;2018-12-13;FIP;POWER FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES INFRAESTRUTURA - RESPONSABILIDADE LIMITADA;;Em Liquidação;2024-12-30;2024-06-13;2026-04-01;2027-03-31;49418742.94;2024-08-31;RICARDO ALLEGRETTI MARINHO;57375598000110;IDFIP ADMINISTRAÇÃO FIDUCIARIA LTDA;PJ;15032609000110;STARBOARD ASSET LTDA.
4510;32625186000160;119008;2019-02-07;2019-01-18;FIP;PÁTRIA INFRAESTRUTURA IV FEEDER-A - FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;;Em Funcionamento Normal;2020-03-23;2025-06-25;2026-01-01;2026-12-31;831915398.64;2025-04-30;MARCELO CERQUEIRA CHERRI;12461756000117;PÁTRIA INVESTIMENTOS LTDA.;PJ;12461756000117;PÁTRIA INVESTIMENTOS LTDA.
4533;33255924000198;119136;2019-12-02;2019-02-08;FIP;LYON CAPITAL I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES INFRAESTRUTURA;;Em Liquidação;2026-06-17;2025-06-30;2026-03-01;2027-02-28;9018276.34;2025-04-30;ARIANA RENATA PAVAN;13673855000125;OSLO DTVM;PJ;13673855000125;OSLO DTVM
4546;33493640000130;119049;2019-06-04;2019-04-04;FIP;PÁTRIA INFRAESTRUTURA IV FEEDER-B FIP MULTIESTRATÉGIA RESPONSABILIDADE LIMITADA;;Em Funcionamento Normal;2020-04-02;2025-06-25;2026-01-01;2026-12-31;299309056.77;2025-04-30;JOSE WALTER LUCAS;23025053000162;APEX GROUP INVESTIMENTOS LTDA.;PJ;12461756000117;PÁTRIA INVESTIMENTOS LTDA.
4547;33493641000184;119056;2019-06-18;2019-04-05;FIP;PÁTRIA INFRAESTRUTURA IV FEEDER - C FIP MULTIESTRATÉGIA RESPONSABILIDADE LIMITADA;;Em Funcionamento Normal;2020-05-07;2025-06-20;2026-01-01;2026-12-31;1174038797.48;2025-04-30;JOSE WALTER LUCAS;23025053000162;APEX GROUP INVESTIMENTOS LTDA.;PJ;12461756000117;PÁTRIA INVESTIMENTOS LTDA.
